poligono_id,anio,poblacion_estimada,densidad_hab_km2,confianza_inferior,confianza_superior
cima_del_sol,2020,2087,2288.0,1669,2505
cima_del_sol,2021,2419,2652.0,1935,2904
cima_del_sol,2022,2467,2704.6,1973,2961
cima_del_sol,2023,2704,2964.4,2163,3245
cima_del_sol,2024,2870,3146.4,2296,3445
cima_del_sol,2025,2941,3224.2,2352,3530
san_isidro,2018,1338,1913.8,1070,1606
san_isidro,2019,1620,2317.2,1296,1945
san_isidro,2020,1715,2453.1,1372,2059
san_isidro,2021,1899,2716.3,1518,2279
san_isidro,2022,1917,2742.0,1533,2301
san_isidro,2023,2005,2867.9,1604,2407
san_isidro,2024,2060,2946.6,1647,2472
san_isidro,2025,2100,3003.8,1680,2521
lomas_de_garupa,2018,1389,1669.8,1111,1668
lomas_de_garupa,2019,1870,2248.0,1495,2244
lomas_de_garupa,2020,2038,2449.9,1630,2447
lomas_de_garupa,2021,2168,2606.2,1734,2602
lomas_de_garupa,2022,2376,2856.3,1900,2852
lomas_de_garupa,2023,2506,3012.5,2004,3007
lomas_de_garupa,2024,2558,3075.1,2046,3070
lomas_de_garupa,2025,2675,3215.7,2139,3210
santa_helena,2018,1273,1324.4,1018,1528
santa_helena,2019,1470,1529.3,1176,1765
santa_helena,2020,1513,1574.0,1210,1816
santa_helena,2021,1642,1708.2,1313,1971
santa_helena,2022,1663,1730.1,1330,1996
santa_helena,2023,1721,1790.4,1377,2066
santa_helena,2024,1776,1847.7,1420,2132
santa_helena,2025,1817,1890.3,1453,2180
fatima,2018,1523,1808.2,1218,1828
fatima,2019,1968,2336.5,1574,2362
fatima,2020,2089,2480.1,1671,2507
fatima,2021,2291,2720.0,1832,2750
fatima,2022,2386,2832.8,1908,2863
fatima,2023,2561,3040.5,2048,3073
fatima,2024,2763,3280.3,2210,3316
fatima,2025,2911,3456.1,2328,3494
don_santiago,2018,365,1263.2,292,439
don_santiago,2019,657,2273.8,525,789
don_santiago,2020,691,2391.5,552,830
don_santiago,2021,753,2606.0,602,904
don_santiago,2022,775,2682.2,620,931
don_santiago,2023,792,2741.0,633,951
don_santiago,2024,882,3052.5,705,1059
don_santiago,2025,916,3170.1,732,1100
nu_pora,2018,1519,1571.5,1214,1823
nu_pora,2019,2489,2575.0,1991,2987
nu_pora,2020,2630,2720.9,2104,3157
nu_pora,2021,2896,2996.0,2316,3476
nu_pora,2022,2990,3093.3,2392,3589
nu_pora,2023,3201,3311.6,2561,3842
nu_pora,2024,3405,3522.6,2723,4086
nu_pora,2025,3616,3740.9,2893,4340
miguel_lanus,2018,4120,2116.7,3296,4945
miguel_lanus,2019,5961,3062.6,4768,7153
miguel_lanus,2020,6316,3245.0,5052,7579
miguel_lanus,2021,7203,3700.7,5762,8644
miguel_lanus,2022,7456,3830.6,5964,8947
miguel_lanus,2023,8016,4118.4,6412,9620
miguel_lanus,2024,8399,4315.1,6719,10080
miguel_lanus,2025,8679,4459.0,6943,10416
norte,2018,108,41.0,86,130
norte,2019,137,52.1,109,165
norte,2020,148,56.2,118,178
norte,2021,191,72.6,152,229
norte,2022,194,73.7,155,234
norte,2023,202,76.8,161,242
norte,2024,227,86.2,181,273
norte,2025,248,94.2,198,299
centro,2018,11083,5520.3,8866,13300
centro,2019,12046,5999.9,9636,14456
centro,2020,12187,6070.2,9749,14625
centro,2021,12510,6231.0,10008,15013
centro,2022,12581,6266.4,10064,15098
centro,2023,12713,6332.2,10170,15256
centro,2024,12941,6445.7,10352,15530
centro,2025,12989,6469.6,10391,15587
complejo_gervasio_artigas,2018,1325,357.1,1059,1590
complejo_gervasio_artigas,2019,1678,452.3,1342,2014
complejo_gervasio_artigas,2020,1753,472.5,1402,2104
complejo_gervasio_artigas,2021,1876,505.6,1500,2251
complejo_gervasio_artigas,2022,1897,511.3,1517,2277
complejo_gervasio_artigas,2023,1987,535.6,1589,2385
complejo_gervasio_artigas,2024,2016,543.4,1612,2420
complejo_gervasio_artigas,2025,2056,554.2,1644,2467
federal,2018,18,6.6,14,22
federal,2019,29,10.7,23,35
federal,2020,36,13.3,28,44
federal,2021,47,17.3,37,57
federal,2022,47,17.3,37,57
federal,2023,47,17.3,37,57
federal,2024,50,18.4,40,61
federal,2025,50,18.4,40,61
nemesio_parma,2018,0,0.0,0,0
nemesio_parma,2019,0,0.0,0,0
nemesio_parma,2020,0,0.0,0,0
nemesio_parma,2021,0,0.0,0,0
nemesio_parma,2022,0,0.0,0,0
nemesio_parma,2023,0,0.0,0,0
nemesio_parma,2024,0,0.0,0,0
nemesio_parma,2025,0,0.0,0,0
villa_cabello,2018,8212,3170.1,6569,9855
villa_cabello,2019,10127,3909.4,8101,12153
villa_cabello,2020,10423,4023.6,8338,12508
villa_cabello,2021,11191,4320.1,8952,13430
villa_cabello,2022,11361,4385.7,9089,13634
villa_cabello,2023,11729,4527.8,9383,14075
villa_cabello,2024,12383,4780.3,9906,14861
