poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
itaembe_mini,2025-07,-2.1661320135070445,-15.970802920893101,13.804670907386058,0.18300795646223245,8,8,0.1.0,2026-04-27T06:27:04
itaembe_mini,2026-07,,,,,0,0,0.1.0,2026-04-27T06:27:05
itaembe_pora,2018-07,-1.6336144474365935,-17.254195735465508,15.620581288028914,,8,8,0.1.0,2026-04-27T06:26:46
itaembe_pora,2019-07,-0.9138066775727228,-16.829900627672984,15.916093950100262,0.7198077698638706,2,2,0.1.0,2026-04-27T06:26:48
itaembe_pora,2020-07,1.2301964309862028,-16.023167959640766,17.25336439062697,2.1440031085589255,6,6,0.1.0,2026-04-27T06:26:49
itaembe_pora,2021-07,-1.1295157786672152,-16.957936651094776,15.82842087242756,-2.359712209653418,7,7,0.1.0,2026-04-27T06:26:51
itaembe_pora,2022-07,-1.1702294806397961,-16.56812638673514,15.397896906095346,-0.04071370197258095,3,3,0.1.0,2026-04-27T06:26:52
itaembe_pora,2023-07,-0.5293198466006759,-16.411031470659807,15.881711624059133,0.6409096340391203,7,7,0.1.0,2026-04-27T06:26:53
itaembe_pora,2024-07,-0.335940232185834,-16.32506616746715,15.989125935281315,0.19337961441484186,7,7,0.1.0,2026-04-27T06:26:55
itaembe_pora,2025-07,-0.016908909392549826,-15.954764614447768,15.937855705055219,0.31903132279328417,8,8,0.1.0,2026-04-27T06:26:56
itaembe_pora,2026-07,,,,,0,0,0.1.0,2026-04-27T06:26:57
las_dolores,2018-07,-7.72847907487252,-15.957805066156151,8.22932599128363,,8,8,0.1.0,2026-04-27T06:22:01
las_dolores,2019-07,-7.49632541234056,-15.434386429499213,7.938061017158653,0.23215366253196024,2,2,0.1.0,2026-04-27T06:22:03
las_dolores,2020-07,-6.66889442742999,-14.542712298113024,7.873817870683034,0.8274309849105697,6,6,0.1.0,2026-04-27T06:22:03
las_dolores,2021-07,-7.47290275903978,-15.541739486610606,8.068836727570826,-0.8040083316097899,7,7,0.1.0,2026-04-27T06:22:04
las_dolores,2022-07,-7.391908912136069,-15.074743795068361,7.682834882932292,0.08099384690371103,3,3,0.1.0,2026-04-27T06:22:05
las_dolores,2023-07,-7.029051600560443,-15.120384232163621,8.091332631603178,0.36285731157562573,7,7,0.1.0,2026-04-27T06:22:05
las_dolores,2024-07,-7.018782612233217,-14.972792487629562,7.954009875396345,0.010268988327226225,7,7,0.1.0,2026-04-27T06:22:06
las_dolores,2025-07,-7.014754413474296,-14.905232471011299,7.8904780575370035,0.004028198758921242,8,8,0.1.0,2026-04-27T06:22:07
las_dolores,2026-07,,,,,0,0,0.1.0,2026-04-27T06:22:08
lomas_de_garupa,2018-07,-9.596231327443897,-16.296043813130314,6.699812485686417,,8,8,0.1.0,2026-04-27T06:24:30
lomas_de_garupa,2019-07,-9.32477671659619,-15.604871880555883,6.280095163959693,0.27145461084770695,2,2,0.1.0,2026-04-27T06:24:31
lomas_de_garupa,2020-07,-8.025557435526922,-14.54897615165677,6.523418716129848,1.2992192810692682,6,6,0.1.0,2026-04-27T06:24:32
lomas_de_garupa,2021-07,-9.029521310737614,-15.408081336133385,6.378560025395771,-1.003963875210692,7,7,0.1.0,2026-04-27T06:24:33
lomas_de_garupa,2022-07,-8.768711230220479,-14.929796258777603,6.161085028557125,0.2608100805171354,3,3,0.1.0,2026-04-27T06:24:34
lomas_de_garupa,2023-07,-8.39633798233124,-14.577145939916118,6.180807957584879,0.3723732478892394,7,7,0.1.0,2026-04-27T06:24:35
lomas_de_garupa,2024-07,-8.219987684996617,-14.395066098339662,6.175078413343044,0.17635029733462204,7,7,0.1.0,2026-04-27T06:24:37
lomas_de_garupa,2025-07,-7.995171465226529,-13.863880781800884,5.868709316574354,0.22481621977008803,8,8,0.1.0,2026-04-27T06:24:38
lomas_de_garupa,2026-07,,,,,0,0,0.1.0,2026-04-27T06:24:39
luis_piedrabuena,2018-07,-6.967046813595604,-15.39439225034105,8.427345436745448,,8,8,0.1.0,2026-04-27T06:22:59
luis_piedrabuena,2019-07,-6.6328741130560775,-14.99115110053662,8.358276987480542,0.3341727005395265,2,2,0.1.0,2026-04-27T06:22:59
luis_piedrabuena,2020-07,-6.092008057902096,-14.373795323894482,8.281787265992385,0.5408660551539812,6,6,0.1.0,2026-04-27T06:23:00
luis_piedrabuena,2021-07,-7.072900972828622,-15.133212440882946,8.060311468054325,-0.9808929149265255,7,7,0.1.0,2026-04-27T06:23:01
luis_piedrabuena,2022-07,-6.7126290427030435,-14.835787134730477,8.123158092027435,0.36027193012557834,3,3,0.1.0,2026-04-27T06:23:02
