poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
yacyreta,2023,0.111,0.5194,1110,943,1277
yacyreta,2024,0.1244,0.506,1244,1057,1431
yacyreta,2025,0.1266,0.5038,1266,1076,1456
villa_urquiza,2018,0.1132,0.6351,1132,962,1302
villa_urquiza,2019,0.1323,0.616,1323,1124,1522
villa_urquiza,2020,0.1372,0.6111,1372,1166,1578
villa_urquiza,2021,0.1468,0.6015,1468,1247,1689
villa_urquiza,2022,0.1481,0.6002,1481,1258,1704
villa_urquiza,2023,0.1525,0.5958,1525,1296,1754
villa_urquiza,2024,0.1575,0.5908,1575,1338,1812
villa_urquiza,2025,0.1582,0.5901,1582,1344,1820
complejo_habitacional_virgen_de_fatima,2018,0.04,0.7598,400,340,460
complejo_habitacional_virgen_de_fatima,2019,0.0512,0.7486,512,435,589
complejo_habitacional_virgen_de_fatima,2020,0.0536,0.7462,536,455,617
complejo_habitacional_virgen_de_fatima,2021,0.0565,0.7433,565,480,650
complejo_habitacional_virgen_de_fatima,2022,0.0575,0.7423,575,488,662
complejo_habitacional_virgen_de_fatima,2023,0.0594,0.7404,594,504,684
complejo_habitacional_virgen_de_fatima,2024,0.0605,0.7393,605,514,696
complejo_habitacional_virgen_de_fatima,2025,0.0621,0.7377,621,527,715
a4_nueva_esperanza,2018,0.0083,0.562,83,70,96
a4_nueva_esperanza,2019,0.0109,0.5594,109,92,126
a4_nueva_esperanza,2020,0.011,0.5593,110,93,127
a4_nueva_esperanza,2021,0.0119,0.5584,119,101,137
a4_nueva_esperanza,2022,0.0121,0.5582,121,102,140
a4_nueva_esperanza,2023,0.0121,0.5582,121,102,140
a4_nueva_esperanza,2024,0.0124,0.5579,124,105,143
a4_nueva_esperanza,2025,0.0124,0.5579,124,105,143
el_laurel,2018,0.0043,0.4699,43,36,50
el_laurel,2019,0.007,0.4672,70,59,81
el_laurel,2020,0.0076,0.4666,76,64,88
el_laurel,2021,0.0083,0.4659,83,70,96
el_laurel,2022,0.0087,0.4655,87,73,101
el_laurel,2023,0.009,0.4652,90,76,104
el_laurel,2024,0.0095,0.4647,95,80,110
el_laurel,2025,0.0098,0.4644,98,83,113
cima_del_sol,2018,0.0073,0.9049,73,62,84
cima_del_sol,2019,0.0081,0.9041,81,68,94
cima_del_sol,2020,0.0088,0.9034,88,74,102
cima_del_sol,2021,0.0102,0.902,102,86,118
cima_del_sol,2022,0.0104,0.9018,104,88,120
cima_del_sol,2023,0.0114,0.9008,114,96,132
cima_del_sol,2024,0.0121,0.9001,121,102,140
cima_del_sol,2025,0.0124,0.8998,124,105,143
san_isidro,2018,0.0365,0.6626,365,310,420
san_isidro,2019,0.0442,0.6549,442,375,509
san_isidro,2020,0.0468,0.6523,468,397,539
san_isidro,2021,0.0518,0.6473,518,440,596
san_isidro,2022,0.0523,0.6468,523,444,602
