poligono_id,fecha,tmin_p10,tmin_p50,tmin_p90,tmax_p10,tmax_p50,tmax_p90,precipitation_mm,weather_code,offset_calor_c,offset_frio_c,offset_origen,generated_at
aguas_corrientes,2026-05-01,17.62,21.11,24.05,26.87,31.26,33.26,5.65,63.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-02,16.07,20.56,23.35,23.86,26.56,28.86,12.3,61.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-03,10.37,16.11,22.84,20.46,23.21,28.25,0.0,3.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-04,7.96,12.71,20.05,20.3,24.51,31.75,0.0,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-05,7.91,18.01,21.96,22.61,27.36,32.85,0.0,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-06,11.25,18.81,21.75,22.13,27.71,32.43,0.12,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-07,11.67,18.26,21.34,20.99,26.31,31.46,0.5,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-08,9.78,16.81,21.95,20.07,23.71,30.51,0.7,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-09,8.78,12.01,20.45,18.21,21.81,29.93,0.7,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-05-10,8.36,10.76,18.96,16.91,21.06,25.52,0.2,,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-04-27,8.58,10.77,14.87,18.46,20.75,23.84,0.0,2.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-04-28,6.37,8.62,13.67,19.28,22.05,23.14,0.0,0.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-04-29,8.28,11.62,17.56,24.28,25.95,27.05,0.0,3.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-04-30,11.38,17.47,22.06,25.86,27.9,29.45,0.0,3.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-01,17.53,21.02,23.96,26.46,30.85,32.85,5.65,63.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-02,15.98,20.47,23.26,23.45,26.15,28.45,12.3,61.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-03,10.28,16.02,22.75,20.05,22.8,27.84,0.0,3.0,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-04,7.87,12.62,19.96,19.89,24.1,31.34,0.0,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-05,7.82,17.92,21.87,22.2,26.95,32.44,0.0,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-06,11.16,18.72,21.66,21.72,27.3,32.02,0.12,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-07,11.58,18.17,21.25,20.58,25.9,31.05,0.5,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-08,9.69,16.72,21.86,19.66,23.3,30.1,0.7,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-09,8.69,11.92,20.36,17.8,21.4,29.52,0.7,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
alta_gracia,2026-05-10,8.27,10.67,18.87,16.5,20.65,25.11,0.2,,1.15,0.07,uhi_verano+invierno,2026-04-27T07:14:29
bajada_vieja,2026-04-27,8.51,10.7,14.8,17.31,19.6,22.69,0.0,2.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-04-28,6.3,8.55,13.6,18.13,20.9,21.99,0.0,0.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-04-29,8.21,11.55,17.49,23.13,24.8,25.9,0.0,3.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-04-30,11.31,17.4,21.99,24.71,26.75,28.3,0.0,3.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-01,17.46,20.95,23.89,25.31,29.7,31.7,5.65,63.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-02,15.91,20.4,23.19,22.3,25.0,27.3,12.3,61.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-03,10.21,15.95,22.68,18.9,21.65,26.69,0.0,3.0,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-04,7.8,12.55,19.89,18.74,22.95,30.19,0.0,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-05,7.75,17.85,21.8,21.05,25.8,31.29,0.0,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-06,11.09,18.65,21.59,20.57,26.15,30.87,0.12,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-07,11.51,18.1,21.18,19.43,24.75,29.9,0.5,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-08,9.62,16.65,21.79,18.51,22.15,28.95,0.7,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-09,8.62,11.85,20.29,16.65,20.25,28.37,0.7,,0.0,0.0,ninguno,2026-04-27T07:14:29
bajada_vieja,2026-05-10,8.2,10.6,18.8,15.35,19.5,23.96,0.2,,0.0,0.0,ninguno,2026-04-27T07:14:29
centro,2026-04-27,8.62,10.81,14.91,18.84,21.13,24.22,0.0,2.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-04-28,6.41,8.66,13.71,19.66,22.43,23.52,0.0,0.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-04-29,8.32,11.66,17.6,24.66,26.33,27.43,0.0,3.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-04-30,11.42,17.51,22.1,26.24,28.28,29.83,0.0,3.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-01,17.57,21.06,24.0,26.84,31.23,33.23,5.65,63.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-02,16.02,20.51,23.3,23.83,26.53,28.83,12.3,61.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-03,10.32,16.06,22.79,20.43,23.18,28.22,0.0,3.0,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-04,7.91,12.66,20.0,20.27,24.48,31.72,0.0,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-05,7.86,17.96,21.91,22.58,27.33,32.82,0.0,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-06,11.2,18.76,21.7,22.1,27.68,32.4,0.12,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-07,11.62,18.21,21.29,20.96,26.28,31.43,0.5,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-08,9.73,16.76,21.9,20.04,23.68,30.48,0.7,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-09,8.73,11.96,20.4,18.18,21.78,29.9,0.7,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
centro,2026-05-10,8.31,10.71,18.91,16.88,21.03,25.49,0.2,,1.53,0.11,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-04-27,8.75,10.94,15.04,19.28,21.57,24.66,0.0,2.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-04-28,6.54,8.79,13.84,20.1,22.87,23.96,0.0,0.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-04-29,8.45,11.79,17.73,25.1,26.77,27.87,0.0,3.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-04-30,11.55,17.64,22.23,26.68,28.72,30.27,0.0,3.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-01,17.7,21.19,24.13,27.28,31.67,33.67,5.65,63.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-02,16.15,20.64,23.43,24.27,26.97,29.27,12.3,61.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-03,10.45,16.19,22.92,20.87,23.62,28.66,0.0,3.0,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-04,8.04,12.79,20.13,20.71,24.92,32.16,0.0,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-05,7.99,18.09,22.04,23.02,27.77,33.26,0.0,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-06,11.33,18.89,21.83,22.54,28.12,32.84,0.12,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-07,11.75,18.34,21.42,21.4,26.72,31.87,0.5,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-08,9.86,16.89,22.03,20.48,24.12,30.92,0.7,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-09,8.86,12.09,20.53,18.62,22.22,30.34,0.7,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
chacra_32,2026-05-10,8.44,10.84,19.04,17.32,21.47,25.93,0.2,,1.97,0.24,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-04-27,8.56,10.75,14.85,17.86,20.15,23.24,0.0,2.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-04-28,6.35,8.6,13.65,18.68,21.45,22.54,0.0,0.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-04-29,8.26,11.6,17.54,23.68,25.35,26.45,0.0,3.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-04-30,11.36,17.45,22.04,25.26,27.3,28.85,0.0,3.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-01,17.51,21.0,23.94,25.86,30.25,32.25,5.65,63.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-02,15.96,20.45,23.24,22.85,25.55,27.85,12.3,61.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-03,10.26,16.0,22.73,19.45,22.2,27.24,0.0,3.0,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-04,7.85,12.6,19.94,19.29,23.5,30.74,0.0,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-05,7.8,17.9,21.85,21.6,26.35,31.84,0.0,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-06,11.14,18.7,21.64,21.12,26.7,31.42,0.12,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-07,11.56,18.15,21.23,19.98,25.3,30.45,0.5,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-08,9.67,16.7,21.84,19.06,22.7,29.5,0.7,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-09,8.67,11.9,20.34,17.2,20.8,28.92,0.7,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
cima_del_sol,2026-05-10,8.25,10.65,18.85,15.9,20.05,24.51,0.2,,0.55,0.05,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-04-27,8.45,10.64,14.74,16.93,19.22,22.31,0.0,2.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
