poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
bajada_vieja,2019-07,-5.033820868633581,-13.408931781115976,8.375110912482395,0.5400521311333115,2,2,0.1.0,2026-04-28T09:54:03
bajada_vieja,2020-07,-4.255358043034444,-13.075454008872104,8.820095965837659,0.7784628255991368,6,6,0.1.0,2026-04-28T09:54:04
bajada_vieja,2021-07,-5.1355749771867405,-13.492557988437078,8.356983011250337,-0.8802169341522967,7,7,0.1.0,2026-04-28T09:54:04
bajada_vieja,2022-07,-4.87415485513181,-13.092578806956649,8.218423951824839,0.2614201220549308,3,3,0.1.0,2026-04-28T09:54:06
bajada_vieja,2023-07,-4.737403248694113,-12.928126959569616,8.190723710875504,0.1367516064376968,7,7,0.1.0,2026-04-28T09:54:07
bajada_vieja,2024-07,-4.683336813817175,-12.5554802028222,7.872143389005024,0.05406643487693774,7,7,0.1.0,2026-04-28T09:54:07
bajada_vieja,2025-07,-4.130670151824107,-12.190266759917751,8.059596608093644,0.5526666619930678,8,8,0.1.0,2026-04-28T09:54:08
bajada_vieja,2026-07,,,,,0,0,0.1.0,2026-04-28T09:54:09
centro,2018-07,-1.7336001336689453,-9.442347382832969,7.708747249164022,,8,8,0.1.0,2026-04-28T09:52:44
centro,2019-07,-1.3961320718860335,-9.039729459389577,7.643597387503543,0.3374680617829118,2,2,0.1.0,2026-04-28T09:52:45
centro,2020-07,-0.9338308258121154,-8.762764782810546,7.828933956998431,0.4623012460739181,6,6,0.1.0,2026-04-28T09:52:45
centro,2021-07,-1.4272338608356647,-9.078742981531686,7.651509120696021,-0.4934030350235493,7,7,0.1.0,2026-04-28T09:52:46
centro,2022-07,-1.418563413962974,-8.973857524476871,7.5552941105138975,0.008670446872690807,3,3,0.1.0,2026-04-28T09:52:47
centro,2023-07,-1.430706296170907,-9.007533940705285,7.576827644534376,-0.012142882207933026,7,7,0.1.0,2026-04-28T09:52:48
centro,2024-07,-1.2898171974916683,-8.959770301768085,7.669953104276416,0.1408890986792386,7,7,0.1.0,2026-04-28T09:52:49
centro,2025-07,-1.162213809422129,-8.622251326968307,7.460037517546178,0.1276033880695393,8,8,0.1.0,2026-04-28T09:52:50
