poligono_id,anio,no2_mean_mol_m2,no2_relativo_bbox
don_santiago,2019,1.196214e-05,0.9392
don_santiago,2020,1.014627e-05,0.8798
don_santiago,2021,1.229073e-05,0.9463
don_santiago,2022,1.276961e-05,0.9914
don_santiago,2023,1.319627e-05,0.9862
don_santiago,2024,1.169316e-05,0.932
don_santiago,2025,1.230794e-05,0.9446
nu_pora,2019,1.272622e-05,0.9992
nu_pora,2020,1.125709e-05,0.9761
nu_pora,2021,1.362263e-05,1.0488
nu_pora,2022,1.381347e-05,1.0724
nu_pora,2023,1.367670e-05,1.0221
nu_pora,2024,1.156033e-05,0.9214
nu_pora,2025,1.344764e-05,1.032
miguel_lanus,2019,1.304796e-05,1.0245
miguel_lanus,2020,1.201150e-05,1.0415
miguel_lanus,2021,1.381662e-05,1.0638
miguel_lanus,2022,1.333704e-05,1.0354
miguel_lanus,2023,1.485079e-05,1.1099
miguel_lanus,2024,1.257872e-05,1.0025
miguel_lanus,2025,1.399224e-05,1.0738
norte,2019,1.197483e-05,0.9402
norte,2020,1.026321e-05,0.8899
norte,2021,1.166365e-05,0.898
norte,2022,1.116502e-05,0.8668
norte,2023,1.245315e-05,0.9307
norte,2024,1.136542e-05,0.9058
norte,2025,1.206072e-05,0.9256
centro,2019,1.592423e-05,1.2503
centro,2020,1.292437e-05,1.1207
centro,2021,1.594386e-05,1.2276
centro,2022,1.618324e-05,1.2564
centro,2023,1.595894e-05,1.1927
centro,2024,1.522691e-05,1.2136
centro,2025,1.471952e-05,1.1296
complejo_gervasio_artigas,2019,1.226506e-05,0.963
complejo_gervasio_artigas,2020,1.077831e-05,0.9346
complejo_gervasio_artigas,2021,1.106651e-05,0.852
complejo_gervasio_artigas,2022,1.172674e-05,0.9104
complejo_gervasio_artigas,2023,1.224031e-05,0.9148
complejo_gervasio_artigas,2024,1.164734e-05,0.9283
complejo_gervasio_artigas,2025,1.190790e-05,0.9139
federal,2019,1.244111e-05,0.9768
federal,2020,1.119454e-05,0.9707
federal,2021,1.101866e-05,0.8484
federal,2022,1.159248e-05,0.9
federal,2023,1.247863e-05,0.9326
federal,2024,1.191294e-05,0.9495
federal,2025,1.206184e-05,0.9257
nemesio_parma,2019,1.327965e-05,1.0427
nemesio_parma,2020,1.279948e-05,1.1098
nemesio_parma,2021,1.217792e-05,0.9376
nemesio_parma,2022,1.323524e-05,1.0275
