poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
alta_gracia,2020,invierno,0.13,-0.4,22.7,1
alta_gracia,2020,otono,2.05,-0.4,26.6,3
alta_gracia,2020,primavera,0.6,-0.42,39.36,2
alta_gracia,2020,verano,3.1,0.28,39.14,2
alta_gracia,2021,invierno,-1.11,-0.76,18.11,2
alta_gracia,2021,otono,-0.51,-0.42,30.57,3
alta_gracia,2021,primavera,3.4,0.54,36.25,3
alta_gracia,2021,verano,1.21,-0.47,40.14,2
alta_gracia,2022,invierno,1.46,-0.24,21.98,2
alta_gracia,2022,otono,0.72,-0.42,26.3,3
alta_gracia,2022,primavera,1.84,-0.03,32.34,3
alta_gracia,2022,verano,3.5,0.2,44.0,2
alta_gracia,2023,invierno,-0.07,-0.92,24.96,3
alta_gracia,2023,otono,1.34,-0.27,29.61,3
alta_gracia,2023,primavera,3.58,0.71,35.85,3
alta_gracia,2023,verano,1.39,0.09,41.72,3
alta_gracia,2024,invierno,1.92,0.62,19.8,3
alta_gracia,2024,otono,-0.11,-0.54,28.45,3
alta_gracia,2024,primavera,4.73,1.28,34.97,3
alta_gracia,2024,verano,6.01,0.69,43.5,3
alta_gracia,2025,invierno,0.37,-0.44,17.29,3
alta_gracia,2025,otono,0.34,-0.45,28.51,3
alta_gracia,2025,primavera,3.46,0.23,33.83,3
alta_gracia,2025,verano,3.35,0.74,41.6,3
alta_gracia,2026,otono,4.94,0.49,38.31,1
alta_gracia,2026,verano,3.47,0.41,41.01,3
centro,2018,invierno,0.67,0.41,22.52,1
centro,2018,otono,1.16,0.2,29.92,3
centro,2018,primavera,3.54,1.24,35.12,3
centro,2018,verano,0.74,0.73,35.93,1
centro,2019,invierno,-0.01,-0.75,21.72,2
centro,2019,otono,5.4,2.72,36.19,2
centro,2019,primavera,4.54,1.1,35.51,3
centro,2019,verano,4.34,1.39,39.8,2
centro,2020,invierno,0.47,-0.06,23.04,1
centro,2020,otono,2.54,0.09,27.09,3
centro,2020,primavera,1.2,0.18,39.96,2
centro,2020,verano,4.36,1.56,40.41,2
centro,2021,invierno,-0.7,-0.36,18.52,2
centro,2021,otono,0.68,0.77,31.76,3
centro,2021,primavera,4.39,1.53,37.24,3
centro,2021,verano,2.2,0.52,41.13,2
centro,2022,invierno,2.03,0.34,22.56,2
centro,2022,otono,1.52,0.38,27.11,3
centro,2022,primavera,2.8,0.94,33.31,3
centro,2022,verano,4.3,1.0,44.82,2
centro,2023,invierno,0.56,-0.29,25.59,3
centro,2023,otono,1.83,0.22,30.1,3
centro,2023,primavera,3.44,0.57,35.7,3
centro,2023,verano,2.17,0.88,42.5,3
centro,2024,invierno,-0.04,-0.76,18.88,2
centro,2024,otono,-1.16,-1.6,27.39,3
centro,2024,primavera,5.09,1.63,35.33,3
centro,2024,verano,7.45,2.13,44.93,3
centro,2025,invierno,0.57,-0.25,17.49,3
centro,2025,otono,0.91,0.12,29.08,3
centro,2025,primavera,4.11,0.88,34.48,3
centro,2025,verano,4.01,1.4,42.26,3
centro,2026,otono,2.97,-1.48,36.34,1
centro,2026,verano,4.63,1.56,42.16,3
chacra_32,2018,invierno,0.96,0.7,22.81,1
chacra_32,2018,otono,2.14,1.18,30.91,3
chacra_32,2018,primavera,4.94,2.65,36.52,3
chacra_32,2018,verano,2.14,2.13,37.33,1
chacra_32,2019,invierno,1.25,0.51,22.98,2
chacra_32,2019,otono,3.54,0.86,34.33,2
chacra_32,2019,primavera,6.04,2.6,37.01,3
chacra_32,2019,verano,5.22,2.26,40.67,2
chacra_32,2020,invierno,1.03,0.5,23.6,1
chacra_32,2020,otono,3.65,1.2,28.2,3
chacra_32,2020,primavera,2.37,1.35,41.13,2
chacra_32,2020,verano,5.3,2.49,41.34,2
chacra_32,2021,invierno,-0.08,0.27,19.14,2
chacra_32,2021,otono,1.21,1.3,32.29,3
chacra_32,2021,primavera,5.27,2.41,38.12,3
chacra_32,2021,verano,3.46,1.78,42.39,2
