poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico,fuente_lst,confianza_cross_sensor
luis_piedrabuena,2018,5,23.69,0.84,0.36,,22.86,0,,landsat,
san_lucas,2018,5,23.56,0.7,0.23,,22.86,0,,landsat,
monsenor_kemerer,2018,5,24.26,1.41,0.93,,22.86,0,,landsat,
rocamora,2018,5,23.43,0.57,0.1,,22.86,0,,landsat,
yacyreta,2018,5,23.32,0.46,-0.01,,22.86,0,,landsat,
villa_urquiza,2018,5,22.15,-0.71,-1.18,,22.86,0,,landsat,
complejo_habitacional_virgen_de_fatima,2018,5,24.2,1.34,0.87,,22.86,0,,landsat,
a4_nueva_esperanza,2018,5,26.12,3.27,2.79,,22.86,0,,landsat,
el_laurel,2018,5,23.37,0.52,0.04,,22.86,0,,landsat,
cima_del_sol,2018,5,23.56,0.7,0.23,,22.86,0,,landsat,
san_isidro,2018,5,24.39,1.54,1.06,,22.86,0,,landsat,
lomas_de_garupa,2018,5,23.44,0.59,0.11,,22.86,0,,landsat,
santa_helena,2018,5,24.37,1.52,1.04,,22.86,0,,landsat,
fatima,2018,5,23.34,0.48,0.01,,22.86,0,,landsat,
don_santiago,2018,5,23.27,0.41,-0.06,,22.86,0,,landsat,
nu_pora,2018,5,22.31,-0.55,-1.02,,22.86,0,,landsat,
miguel_lanus,2018,5,22.77,-0.09,-0.56,,22.86,0,,landsat,
norte,2018,5,21.69,-1.16,-1.64,,22.86,0,,landsat,
centro,2018,5,22.8,-0.05,-0.53,,22.86,0,,landsat,
complejo_gervasio_artigas,2018,5,22.65,-0.21,-0.68,,22.86,0,,landsat,
federal,2018,5,23.42,0.57,0.09,,22.86,0,,landsat,
nemesio_parma,2018,5,24.16,1.3,0.83,,22.86,0,,landsat,
villa_cabello,2018,5,24.24,1.38,0.91,,22.86,0,,landsat,
itaembe_pora,2018,5,24.14,1.28,0.81,,22.86,0,,landsat,
itaembe_mini,2018,5,24.66,1.8,1.33,,22.86,0,,landsat,
aguas_corrientes,2018,5,23.4,0.54,0.07,,22.86,0,,landsat,
chacra_32,2018,5,23.18,0.32,-0.15,,22.86,0,,landsat,
villa_bonita,2018,5,23.76,0.91,0.43,,22.86,0,,landsat,
itaembe_guazu,2018,5,23.65,0.79,0.32,,22.86,0,,landsat,
posadas_completa,2018,5,23.54,0.68,0.21,,22.86,0,,landsat,
dm_santa_rita,2018,5,22.39,-0.46,-0.94,,22.86,0,,landsat,
dm_itaembe_mini_este,2018,5,23.71,0.86,0.38,,22.86,0,,landsat,
dm_miguel_lanus,2018,5,22.63,-0.23,-0.7,,22.86,0,,landsat,
cit_riberas_del_parana,2018,5,23.81,0.95,0.48,,22.86,0,,landsat,
dm_villa_urquiza,2018,5,22.37,-0.48,-0.96,,22.86,0,,landsat,
dm_santa_rita_suroeste,2018,5,22.89,0.04,-0.44,,22.86,0,,landsat,
