poligono_id,anio,n_focos_firms,n_focos_cbers_swir,n_coincidencias,agreement_pct,fuente_secundaria
miguel_lanus,2021,0,0,0,,no_disponible
miguel_lanus,2022,0,0,0,,no_disponible
miguel_lanus,2023,0,0,0,,no_disponible
miguel_lanus,2024,0,0,0,,no_disponible
miguel_lanus,2025,0,0,0,,no_disponible
norte,2018,0,0,0,,no_disponible
norte,2019,0,0,0,,no_disponible
norte,2020,0,0,0,,no_disponible
norte,2021,0,0,0,,no_disponible
norte,2022,0,0,0,,no_disponible
norte,2023,0,0,0,,no_disponible
norte,2024,0,0,0,,no_disponible
norte,2025,0,0,0,,no_disponible
centro,2018,0,0,0,,no_disponible
centro,2019,0,0,0,,no_disponible
centro,2020,0,0,0,,no_disponible
centro,2021,0,0,0,,no_disponible
centro,2022,0,0,0,,no_disponible
centro,2023,0,0,0,,no_disponible
centro,2024,0,0,0,,no_disponible
centro,2025,0,0,0,,no_disponible
complejo_gervasio_artigas,2018,0,0,0,,no_disponible
complejo_gervasio_artigas,2019,0,0,0,,no_disponible
complejo_gervasio_artigas,2020,0,0,0,,no_disponible
complejo_gervasio_artigas,2021,0,0,0,,no_disponible
complejo_gervasio_artigas,2022,0,0,0,,no_disponible
complejo_gervasio_artigas,2023,2,0,0,,no_disponible
complejo_gervasio_artigas,2024,0,0,0,,no_disponible
complejo_gervasio_artigas,2025,0,0,0,,no_disponible
federal,2018,0,0,0,,no_disponible
federal,2019,0,0,0,,no_disponible
federal,2020,1,0,0,,no_disponible
federal,2021,0,0,0,,no_disponible
federal,2022,1,0,0,,no_disponible
federal,2023,0,0,0,,no_disponible
federal,2024,0,0,0,,no_disponible
federal,2025,0,0,0,,no_disponible
nemesio_parma,2018,0,0,0,,no_disponible
nemesio_parma,2019,0,0,0,,no_disponible
nemesio_parma,2020,0,0,0,,no_disponible
nemesio_parma,2021,0,0,0,,no_disponible
nemesio_parma,2022,0,0,0,,no_disponible
nemesio_parma,2023,0,0,0,,no_disponible
nemesio_parma,2024,0,0,0,,no_disponible
nemesio_parma,2025,0,0,0,,no_disponible
villa_cabello,2018,0,0,0,,no_disponible
villa_cabello,2019,0,0,0,,no_disponible
villa_cabello,2020,0,0,0,,no_disponible
villa_cabello,2021,0,0,0,,no_disponible
villa_cabello,2022,0,0,0,,no_disponible
villa_cabello,2023,0,0,0,,no_disponible
villa_cabello,2024,0,0,0,,no_disponible
villa_cabello,2025,0,0,0,,no_disponible
itaembe_pora,2018,0,0,0,,no_disponible
itaembe_pora,2019,0,0,0,,no_disponible
itaembe_pora,2020,1,0,0,,no_disponible
itaembe_pora,2021,0,0,0,,no_disponible
itaembe_pora,2022,1,0,0,,no_disponible
itaembe_pora,2023,0,0,0,,no_disponible
itaembe_pora,2024,0,0,0,,no_disponible
itaembe_pora,2025,0,0,0,,no_disponible
itaembe_mini,2018,0,0,0,,no_disponible
itaembe_mini,2019,0,0,0,,no_disponible
itaembe_mini,2020,1,0,0,,no_disponible
itaembe_mini,2021,0,0,0,,no_disponible
itaembe_mini,2022,0,0,0,,no_disponible
itaembe_mini,2023,0,0,0,,no_disponible
itaembe_mini,2024,0,0,0,,no_disponible
itaembe_mini,2025,0,0,0,,no_disponible
aguas_corrientes,2018,0,0,0,,no_disponible
aguas_corrientes,2019,0,0,0,,no_disponible
aguas_corrientes,2020,0,0,0,,no_disponible
aguas_corrientes,2021,0,0,0,,no_disponible
aguas_corrientes,2022,0,0,0,,no_disponible
aguas_corrientes,2023,0,0,0,,no_disponible
aguas_corrientes,2024,0,0,0,,no_disponible
aguas_corrientes,2025,0,0,0,,no_disponible
chacra_32,2018,0,0,0,,no_disponible
chacra_32,2019,0,0,0,,no_disponible
chacra_32,2020,0,0,0,,no_disponible
chacra_32,2021,0,0,0,,no_disponible
chacra_32,2022,0,0,0,,no_disponible
chacra_32,2023,0,0,0,,no_disponible
chacra_32,2024,0,0,0,,no_disponible
chacra_32,2025,0,0,0,,no_disponible
bajada_vieja,2018,0,0,0,,no_disponible
bajada_vieja,2019,0,0,0,,no_disponible
bajada_vieja,2020,0,0,0,,no_disponible
bajada_vieja,2021,0,0,0,,no_disponible
bajada_vieja,2022,0,0,0,,no_disponible
bajada_vieja,2023,0,0,0,,no_disponible
bajada_vieja,2024,0,0,0,,no_disponible
bajada_vieja,2025,0,0,0,,no_disponible
villa_bonita,2018,0,0,0,,no_disponible
villa_bonita,2019,0,0,0,,no_disponible
villa_bonita,2020,0,0,0,,no_disponible
villa_bonita,2021,0,0,0,,no_disponible
villa_bonita,2022,0,0,0,,no_disponible
villa_bonita,2023,0,0,0,,no_disponible
villa_bonita,2024,0,0,0,,no_disponible
villa_bonita,2025,0,0,0,,no_disponible
itaembe_guazu,2018,11,0,0,,no_disponible
itaembe_guazu,2019,8,0,0,,no_disponible
itaembe_guazu,2020,1,0,0,,no_disponible
itaembe_guazu,2021,0,0,0,,no_disponible
itaembe_guazu,2022,0,0,0,,no_disponible
itaembe_guazu,2023,0,0,0,,no_disponible
itaembe_guazu,2024,0,0,0,,no_disponible
itaembe_guazu,2025,0,0,0,,no_disponible
posadas_completa,2018,20,0,0,,no_disponible
posadas_completa,2019,11,0,0,,no_disponible
posadas_completa,2020,16,0,0,,no_disponible
posadas_completa,2021,0,0,0,,no_disponible
posadas_completa,2022,1,0,0,,no_disponible
posadas_completa,2023,3,0,0,,no_disponible
posadas_completa,2024,8,0,0,,no_disponible
posadas_completa,2025,0,0,0,,no_disponible
dm_santa_rita,2018,0,0,0,,no_disponible
dm_santa_rita,2019,0,0,0,,no_disponible
dm_santa_rita,2020,0,0,0,,no_disponible
dm_santa_rita,2021,0,0,0,,no_disponible
dm_santa_rita,2022,0,0,0,,no_disponible
dm_santa_rita,2023,0,0,0,,no_disponible
dm_santa_rita,2024,1,0,0,,no_disponible
dm_santa_rita,2025,0,0,0,,no_disponible
dm_itaembe_mini_este,2018,0,0,0,,no_disponible
dm_itaembe_mini_este,2019,0,0,0,,no_disponible
dm_itaembe_mini_este,2020,0,0,0,,no_disponible
dm_itaembe_mini_este,2021,0,0,0,,no_disponible
dm_itaembe_mini_este,2022,0,0,0,,no_disponible
dm_itaembe_mini_este,2023,0,0,0,,no_disponible
dm_itaembe_mini_este,2024,0,0,0,,no_disponible
dm_itaembe_mini_este,2025,0,0,0,,no_disponible
dm_miguel_lanus,2018,0,0,0,,no_disponible
dm_miguel_lanus,2019,0,0,0,,no_disponible
dm_miguel_lanus,2020,0,0,0,,no_disponible
dm_miguel_lanus,2021,0,0,0,,no_disponible
dm_miguel_lanus,2022,0,0,0,,no_disponible
dm_miguel_lanus,2023,0,0,0,,no_disponible
dm_miguel_lanus,2024,0,0,0,,no_disponible
dm_miguel_lanus,2025,0,0,0,,no_disponible
cit_riberas_del_parana,2018,0,0,0,,no_disponible
cit_riberas_del_parana,2019,0,0,0,,no_disponible
cit_riberas_del_parana,2020,0,0,0,,no_disponible
cit_riberas_del_parana,2021,0,0,0,,no_disponible
cit_riberas_del_parana,2022,0,0,0,,no_disponible
cit_riberas_del_parana,2023,0,0,0,,no_disponible
cit_riberas_del_parana,2024,0,0,0,,no_disponible
cit_riberas_del_parana,2025,0,0,0,,no_disponible
dm_villa_urquiza,2018,0,0,0,,no_disponible
dm_villa_urquiza,2019,0,0,0,,no_disponible
dm_villa_urquiza,2020,0,0,0,,no_disponible
dm_villa_urquiza,2021,0,0,0,,no_disponible
dm_villa_urquiza,2022,0,0,0,,no_disponible
dm_villa_urquiza,2023,0,0,0,,no_disponible
dm_villa_urquiza,2024,0,0,0,,no_disponible
dm_villa_urquiza,2025,0,0,0,,no_disponible
fatima_sur,2018,0,0,0,,no_disponible
fatima_sur,2019,0,0,0,,no_disponible
fatima_sur,2020,0,0,0,,no_disponible
fatima_sur,2021,0,0,0,,no_disponible
fatima_sur,2022,0,0,0,,no_disponible
fatima_sur,2023,0,0,0,,no_disponible
fatima_sur,2024,0,0,0,,no_disponible
fatima_sur,2025,0,0,0,,no_disponible
cit_villa_cabello,2018,17,0,0,,no_disponible
cit_villa_cabello,2019,3,0,0,,no_disponible
cit_villa_cabello,2020,5,0,0,,no_disponible
cit_villa_cabello,2021,0,0,0,,no_disponible
cit_villa_cabello,2022,0,0,0,,no_disponible
cit_villa_cabello,2023,9,0,0,,no_disponible
cit_villa_cabello,2024,0,0,0,,no_disponible
cit_villa_cabello,2025,0,0,0,,no_disponible
dm_santa_rita_suroeste,2018,0,0,0,,no_disponible
dm_santa_rita_suroeste,2019,0,0,0,,no_disponible
dm_santa_rita_suroeste,2020,0,0,0,,no_disponible
dm_santa_rita_suroeste,2021,0,0,0,,no_disponible
dm_santa_rita_suroeste,2022,0,0,0,,no_disponible
dm_santa_rita_suroeste,2023,0,0,0,,no_disponible
dm_santa_rita_suroeste,2024,0,0,0,,no_disponible
dm_santa_rita_suroeste,2025,0,0,0,,no_disponible
puerto_canela,2018,1,0,0,,no_disponible
puerto_canela,2019,3,0,0,,no_disponible
puerto_canela,2020,9,0,0,,no_disponible
puerto_canela,2021,0,0,0,,no_disponible
puerto_canela,2022,0,0,0,,no_disponible
puerto_canela,2023,0,0,0,,no_disponible
puerto_canela,2024,6,0,0,,no_disponible
puerto_canela,2025,0,0,0,,no_disponible
villa_dolores,2018,0,0,0,,no_disponible
villa_dolores,2019,0,0,0,,no_disponible
villa_dolores,2020,0,0,0,,no_disponible
villa_dolores,2021,0,0,0,,no_disponible
villa_dolores,2022,0,0,0,,no_disponible
villa_dolores,2023,0,0,0,,no_disponible
villa_dolores,2024,0,0,0,,no_disponible
villa_dolores,2025,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2018,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2019,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2020,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2021,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2022,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2023,3,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2024,0,0,0,,no_disponible
dm_itaembe_mini_este_suroeste,2025,0,0,0,,no_disponible
los_patitos,2018,2,0,0,,no_disponible
los_patitos,2019,0,0,0,,no_disponible
los_patitos,2020,0,0,0,,no_disponible
los_patitos,2021,0,0,0,,no_disponible
los_patitos,2022,0,0,0,,no_disponible
los_patitos,2023,0,0,0,,no_disponible
los_patitos,2024,0,0,0,,no_disponible
los_patitos,2025,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2018,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2019,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2020,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2021,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2022,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2023,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2024,0,0,0,,no_disponible
cit_riberas_del_parana_oeste,2025,0,0,0,,no_disponible
dm_miguel_lanus_sur,2018,0,0,0,,no_disponible
dm_miguel_lanus_sur,2019,0,0,0,,no_disponible
dm_miguel_lanus_sur,2020,0,0,0,,no_disponible
dm_miguel_lanus_sur,2021,0,0,0,,no_disponible
dm_miguel_lanus_sur,2022,0,0,0,,no_disponible
dm_miguel_lanus_sur,2023,0,0,0,,no_disponible
dm_miguel_lanus_sur,2024,0,0,0,,no_disponible
dm_miguel_lanus_sur,2025,0,0,0,,no_disponible
san_martin_sureste,2018,0,0,0,,no_disponible
san_martin_sureste,2019,0,0,0,,no_disponible
san_martin_sureste,2020,0,0,0,,no_disponible
san_martin_sureste,2021,0,0,0,,no_disponible
san_martin_sureste,2022,0,0,0,,no_disponible
san_martin_sureste,2023,0,0,0,,no_disponible
san_martin_sureste,2024,0,0,0,,no_disponible
san_martin_sureste,2025,0,0,0,,no_disponible
horacio_quiroga,2018,0,0,0,,no_disponible
horacio_quiroga,2019,0,0,0,,no_disponible
horacio_quiroga,2020,0,0,0,,no_disponible
horacio_quiroga,2021,0,0,0,,no_disponible
horacio_quiroga,2022,0,0,0,,no_disponible
horacio_quiroga,2023,0,0,0,,no_disponible
horacio_quiroga,2024,0,0,0,,no_disponible
horacio_quiroga,2025,0,0,0,,no_disponible
malvinas,2018,0,0,0,,no_disponible
malvinas,2019,0,0,0,,no_disponible
malvinas,2020,1,0,0,,no_disponible
malvinas,2021,0,0,0,,no_disponible
malvinas,2022,3,0,0,,no_disponible
malvinas,2023,0,0,0,,no_disponible
malvinas,2024,0,0,0,,no_disponible
malvinas,2025,0,0,0,,no_disponible
la_eugenia,2018,0,0,0,,no_disponible
la_eugenia,2019,0,0,0,,no_disponible
la_eugenia,2020,0,0,0,,no_disponible
la_eugenia,2021,0,0,0,,no_disponible
la_eugenia,2022,0,0,0,,no_disponible
la_eugenia,2023,0,0,0,,no_disponible
la_eugenia,2024,0,0,0,,no_disponible
la_eugenia,2025,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2018,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2019,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2020,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2021,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2022,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2023,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2024,0,0,0,,no_disponible
dm_villa_urquiza_sureste,2025,0,0,0,,no_disponible
el_portal,2018,0,0,0,,no_disponible
el_portal,2019,0,0,0,,no_disponible
el_portal,2020,0,0,0,,no_disponible
el_portal,2021,0,0,0,,no_disponible
el_portal,2022,0,0,0,,no_disponible
el_portal,2023,1,0,0,,no_disponible
el_portal,2024,0,0,0,,no_disponible
el_portal,2025,0,0,0,,no_disponible
porvenir_2,2018,0,0,0,,no_disponible
porvenir_2,2019,0,0,0,,no_disponible
porvenir_2,2020,0,0,0,,no_disponible
porvenir_2,2021,0,0,0,,no_disponible
porvenir_2,2022,0,0,0,,no_disponible
porvenir_2,2023,0,0,0,,no_disponible
porvenir_2,2024,0,0,0,,no_disponible
porvenir_2,2025,0,0,0,,no_disponible
