poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
nemesio_parma,2018-07,1,2,3
nemesio_parma,2019-07,1,2,3
nemesio_parma,2020-07,1,2,3
nemesio_parma,2021-07,2,3,4
nemesio_parma,2022-07,2,3,4
nemesio_parma,2023-07,2,3,4
nemesio_parma,2024-07,3,4,5
nemesio_parma,2025-07,3,4,5
villa_cabello,2018-07,2403,2828,3253
villa_cabello,2019-07,2969,3494,4019
villa_cabello,2020-07,3054,3593,4132
villa_cabello,2021-07,3275,3854,4433
villa_cabello,2022-07,3325,3912,4499
villa_cabello,2023-07,3432,4038,4644
villa_cabello,2024-07,3621,4261,4901
villa_cabello,2025-07,3658,4304,4950
itaembe_pora,2018-07,2404,2829,3254
itaembe_pora,2019-07,2924,3441,3958
itaembe_pora,2020-07,3039,3576,4113
itaembe_pora,2021-07,3382,3979,4576
itaembe_pora,2022-07,3421,4025,4629
itaembe_pora,2023-07,3553,4180,4807
itaembe_pora,2024-07,3696,4349,5002
itaembe_pora,2025-07,3753,4416,5079
itaembe_mini,2018-07,742,873,1004
itaembe_mini,2019-07,894,1052,1210
itaembe_mini,2020-07,928,1092,1256
itaembe_mini,2021-07,1025,1206,1387
itaembe_mini,2022-07,1038,1222,1406
itaembe_mini,2023-07,1075,1265,1455
itaembe_mini,2024-07,1129,1329,1529
itaembe_mini,2025-07,1149,1352,1555
aguas_corrientes,2018-07,4310,5071,5832
aguas_corrientes,2019-07,4983,5863,6743
aguas_corrientes,2020-07,5114,6017,6920
aguas_corrientes,2021-07,5313,6251,7189
aguas_corrientes,2023-07,5477,6444,7411
aguas_corrientes,2024-07,5685,6689,7693
aguas_corrientes,2025-07,5740,6754,7768
chacra_32,2018-07,4139,4870,5601
chacra_32,2019-07,5073,5969,6865
chacra_32,2020-07,5257,6185,7113
chacra_32,2021-07,5711,6719,7727
chacra_32,2022-07,5848,6880,7912
chacra_32,2023-07,6053,7122,8191
chacra_32,2024-07,6312,7427,8542
chacra_32,2025-07,6391,7519,8647
bajada_vieja,2018-07,667,785,903
bajada_vieja,2019-07,746,878,1010
bajada_vieja,2020-07,773,910,1047
bajada_vieja,2021-07,824,970,1116
bajada_vieja,2022-07,830,977,1124
bajada_vieja,2023-07,846,996,1146
bajada_vieja,2024-07,862,1015,1168
bajada_vieja,2025-07,867,1021,1175
villa_bonita,2018-07,1002,1179,1356
villa_bonita,2019-07,1351,1590,1829
villa_bonita,2020-07,1393,1639,1885
villa_bonita,2021-07,1492,1756,2020
villa_bonita,2022-07,1546,1819,2092
villa_bonita,2023-07,1628,1916,2204
villa_bonita,2024-07,1710,2012,2314
villa_bonita,2025-07,1757,2068,2379
itaembe_guazu,2018-07,5886,6925,7964
itaembe_guazu,2019-07,6571,7731,8891
itaembe_guazu,2020-07,6665,7842,9019
itaembe_guazu,2021-07,7193,8463,9733
itaembe_guazu,2022-07,7682,9038,10394
itaembe_guazu,2023-07,7750,9118,10486
itaembe_guazu,2024-07,7757,9126,10495
itaembe_guazu,2025-07,7758,9128,10498
