poligono_id,fecha,poblacion_min,poblacion_estimada,poblacion_max,metodo
nemesio_parma,2020-07,0,0,0,directo
nemesio_parma,2021-07,0,0,0,directo
nemesio_parma,2022-07,0,0,0,directo
nemesio_parma,2023-07,0,0,0,directo
nemesio_parma,2024-07,0,0,0,directo
nemesio_parma,2025-07,0,0,0,directo
villa_cabello,2018-07,6569,8212,9855,worldpop_escalado
villa_cabello,2019-07,8101,10127,12153,worldpop_escalado
villa_cabello,2020-07,8338,10423,12508,worldpop_escalado
villa_cabello,2021-07,8952,11191,13430,worldpop_escalado
villa_cabello,2022-07,9089,11361,13634,worldpop_escalado
villa_cabello,2023-07,9383,11729,14075,worldpop_escalado
villa_cabello,2024-07,9906,12383,14861,worldpop_escalado
villa_cabello,2025-07,10007,12509,15011,worldpop_escalado
itaembe_pora,2018-07,4879,6099,7320,worldpop_escalado
itaembe_pora,2019-07,5939,7425,8910,worldpop_escalado
itaembe_pora,2020-07,6153,7692,9231,worldpop_escalado
itaembe_pora,2021-07,6823,8529,10235,worldpop_escalado
itaembe_pora,2022-07,6902,8628,10354,worldpop_escalado
itaembe_pora,2023-07,7179,8975,10770,worldpop_escalado
itaembe_pora,2024-07,7520,9400,11281,worldpop_escalado
itaembe_pora,2025-07,7633,9542,11451,worldpop_escalado
itaembe_mini,2018-07,2357,2947,3537,worldpop_escalado
itaembe_mini,2019-07,2862,3578,4294,worldpop_escalado
itaembe_mini,2020-07,2974,3718,4463,worldpop_escalado
itaembe_mini,2021-07,3308,4136,4964,worldpop_escalado
itaembe_mini,2022-07,3350,4188,5026,worldpop_escalado
itaembe_mini,2023-07,3485,4357,5229,worldpop_escalado
itaembe_mini,2024-07,3662,4578,5494,worldpop_escalado
itaembe_mini,2025-07,3729,4662,5595,worldpop_escalado
aguas_corrientes,2018-07,8590,10738,12886,worldpop_escalado
aguas_corrientes,2019-07,9867,12335,14802,worldpop_escalado
aguas_corrientes,2020-07,10109,12636,15164,worldpop_escalado
aguas_corrientes,2021-07,10488,13110,15733,worldpop_escalado
aguas_corrientes,2022-07,10604,13255,15907,worldpop_escalado
aguas_corrientes,2023-07,10834,13543,16252,worldpop_escalado
aguas_corrientes,2024-07,11211,14014,16818,worldpop_escalado
aguas_corrientes,2025-07,11305,14132,16959,worldpop_escalado
chacra_32,2018-07,12638,15798,18958,worldpop_escalado
chacra_32,2019-07,15436,19296,23156,worldpop_escalado
chacra_32,2020-07,16023,20029,24035,worldpop_escalado
chacra_32,2021-07,17464,21830,26197,worldpop_escalado
chacra_32,2022-07,17891,22365,26838,worldpop_escalado
chacra_32,2023-07,18477,23097,27717,worldpop_escalado
chacra_32,2024-07,19228,24036,28844,worldpop_escalado
chacra_32,2025-07,19471,24339,29208,worldpop_escalado
bajada_vieja,2018-07,1767,2210,2652,worldpop_escalado
bajada_vieja,2019-07,2013,2517,3021,worldpop_escalado
bajada_vieja,2020-07,2123,2654,3185,worldpop_escalado
bajada_vieja,2021-07,2280,2850,3421,worldpop_escalado
bajada_vieja,2022-07,2290,2863,3437,worldpop_escalado
bajada_vieja,2023-07,2342,2929,3515,worldpop_escalado
bajada_vieja,2024-07,2416,3020,3625,worldpop_escalado
bajada_vieja,2025-07,2426,3033,3640,worldpop_escalado
villa_bonita,2018-07,4826,6033,7240,worldpop_escalado
villa_bonita,2019-07,6414,8019,9623,worldpop_escalado
villa_bonita,2020-07,6681,8351,10022,worldpop_escalado
villa_bonita,2021-07,7222,9028,10834,worldpop_escalado
villa_bonita,2022-07,7444,9305,11167,worldpop_escalado
villa_bonita,2023-07,7932,9915,11899,worldpop_escalado
villa_bonita,2024-07,8437,10547,12657,worldpop_escalado
villa_bonita,2025-07,8730,10913,13096,worldpop_escalado
itaembe_guazu,2018-07,19736,24671,29605,directo
itaembe_guazu,2019-07,22057,27572,33087,directo
itaembe_guazu,2020-07,22377,27972,33567,directo
itaembe_guazu,2021-07,24140,30175,36211,directo
itaembe_guazu,2022-07,25787,32234,38682,directo
itaembe_guazu,2023-07,26015,32519,39023,directo
itaembe_guazu,2024-07,26038,32548,39058,directo
itaembe_guazu,2025-07,26043,32555,39066,directo
