poligono_id,score,componentes_json,version_metodologia
fatima,41.12,"{""crecimiento"": {""crudo"": 0.2511, ""norm"": 0.2511, ""peso"": 0.25}, ""densidad"": {""crudo"": 331.2396, ""norm"": 0.0167, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.8075, ""norm"": 0.8064, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
don_santiago,42.11,"{""crecimiento"": {""crudo"": 0.2933, ""norm"": 0.2933, ""peso"": 0.25}, ""densidad"": {""crudo"": 930.9703, ""norm"": 0.0471, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.7728, ""norm"": 0.7715, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
nu_pora,41.61,"{""crecimiento"": {""crudo"": 0.3324, ""norm"": 0.3324, ""peso"": 0.25}, ""densidad"": {""crudo"": 510.0308, ""norm"": 0.0258, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6958, ""norm"": 0.6941, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
miguel_lanus,32.79,"{""crecimiento"": {""crudo"": 0.3671, ""norm"": 0.3671, ""peso"": 0.25}, ""densidad"": {""crudo"": 943.2764, ""norm"": 0.0477, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 576.2, ""norm"": 0.3704, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 122.5, ""norm"": 0.0292, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6721, ""norm"": 0.6703, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
norte,54.09,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.7737, ""norm"": 0.7725, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
centro,12.03,"{""crecimiento"": {""crudo"": 0.0673, ""norm"": 0.0673, ""peso"": 0.25}, ""densidad"": {""crudo"": 5567.2394, ""norm"": 0.2821, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 57.3, ""norm"": 0.0, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 111.4, ""norm"": 0.0243, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.0552, ""norm"": 0.0499, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
complejo_gervasio_artigas,53.07,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.7061, ""norm"": 0.7044, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
federal,52.01,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6363, ""norm"": 0.6343, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
nemesio_parma,52.83,"{""crecimiento"": {""crudo"": 1.0, ""norm"": 1.0, ""peso"": 0.25}, ""densidad"": {""crudo"": 2.8062, ""norm"": 0.0, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 80.3, ""norm"": 0.0164, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 2296.9, ""norm"": 1.0, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": null, ""norm"": 0.5, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
villa_cabello,21.06,"{""crecimiento"": {""crudo"": 0.2071, ""norm"": 0.2071, ""peso"": 0.25}, ""densidad"": {""crudo"": 1500.8979, ""norm"": 0.076, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 229.8, ""norm"": 0.1231, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 57.0, ""norm"": 0.0, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.488, ""norm"": 0.4852, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
itaembe_pora,26.26,"{""crecimiento"": {""crudo"": 0.233, ""norm"": 0.233, ""peso"": 0.25}, ""densidad"": {""crudo"": 1355.0806, ""norm"": 0.0686, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 136.5, ""norm"": 0.0565, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 183.9, ""norm"": 0.0567, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.8293, ""norm"": 0.8284, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
itaembe_mini,28.93,"{""crecimiento"": {""crudo"": 0.2289, ""norm"": 0.2289, ""peso"": 0.25}, ""densidad"": {""crudo"": 2621.2913, ""norm"": 0.1328, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 266.8, ""norm"": 0.1495, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 143.0, ""norm"": 0.0384, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.8438, ""norm"": 0.843, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
aguas_corrientes,18.44,"{""crecimiento"": {""crudo"": 0.112, ""norm"": 0.112, ""peso"": 0.25}, ""densidad"": {""crudo"": 5896.761, ""norm"": 0.2988, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 331.1, ""norm"": 0.1954, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 240.3, ""norm"": 0.0818, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.0731, ""norm"": 0.0679, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
chacra_32,18.06,"{""crecimiento"": {""crudo"": 0.2087, ""norm"": 0.2087, ""peso"": 0.25}, ""densidad"": {""crudo"": 1949.7468, ""norm"": 0.0987, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 179.0, ""norm"": 0.0869, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 133.6, ""norm"": 0.0342, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.2783, ""norm"": 0.2743, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
bajada_vieja,24.66,"{""crecimiento"": {""crudo"": 0.0761, ""norm"": 0.0761, ""peso"": 0.25}, ""densidad"": {""crudo"": 19731.9928, ""norm"": 1.0, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 206.7, ""norm"": 0.1066, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 62.0, ""norm"": 0.0022, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.0445, ""norm"": 0.0392, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
villa_bonita,35.26,"{""crecimiento"": {""crudo"": 0.2873, ""norm"": 0.2873, ""peso"": 0.25}, ""densidad"": {""crudo"": 902.5997, ""norm"": 0.0457, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 828.8, ""norm"": 0.5507, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 482.0, ""norm"": 0.1897, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5715, ""norm"": 0.5691, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
itaembe_guazu,40.23,"{""crecimiento"": {""crudo"": 0.1757, ""norm"": 0.1757, ""peso"": 0.25}, ""densidad"": {""crudo"": 2090.2194, ""norm"": 0.1058, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 1458.2, ""norm"": 1.0, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 217.8, ""norm"": 0.0718, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5476, ""norm"": 0.5451, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
