poligono_id,fecha,dw_built_mean,dw_built_median,dw_built_pct_ge_50,n_imagenes,version_script,fecha_calculo
complejo_habitacional_virgen_de_fatima,2022-07,0.7221109301571156,0.7324760397228306,0.988606225413542,15,0.1.0,2026-04-28T09:40:46
complejo_habitacional_virgen_de_fatima,2023-07,0.7233395402919945,0.7324133246002158,0.986799842456022,21,0.1.0,2026-04-28T09:40:47
complejo_habitacional_virgen_de_fatima,2024-07,0.7234474988639994,0.7362908213352907,0.9867703787858108,9,0.1.0,2026-04-28T09:40:47
complejo_habitacional_virgen_de_fatima,2025-07,0.7221696110800668,0.7363392132284589,0.986610928335255,23,0.1.0,2026-04-28T09:40:48
complejo_habitacional_virgen_de_fatima,2026-07,,,,0,0.1.0,2026-04-28T09:40:48
dm_itaembe_mini_este,2018-07,0.5426703032369655,0.7167836887023556,0.6965443299857769,42,0.1.0,2026-05-08T23:41:39
dm_itaembe_mini_este,2019-07,0.5466533145711914,0.7208170390740832,0.698325646883037,30,0.1.0,2026-05-08T23:41:40
dm_itaembe_mini_este,2020-07,0.5490585845746581,0.7208222106187604,0.7020468226944246,45,0.1.0,2026-05-08T23:41:42
dm_itaembe_mini_este,2021-07,0.5559869069060361,0.7207999120346561,0.7122366133643673,48,0.1.0,2026-05-08T23:41:45
dm_itaembe_mini_este,2022-07,0.5599987402079685,0.72076593351993,0.7227306294268931,32,0.1.0,2026-05-08T23:41:46
dm_itaembe_mini_este,2023-07,0.5561687296630858,0.7168557374338101,0.7193358044911864,44,0.1.0,2026-05-08T23:41:48
dm_itaembe_mini_este,2024-07,0.5547366547030064,0.7208061376658436,0.7156955159978745,22,0.1.0,2026-05-08T23:41:49
dm_itaembe_mini_este,2025-07,0.5598762104542409,0.7207997583749866,0.7215779492263273,47,0.1.0,2026-05-08T23:41:51
dm_itaembe_mini_este,2026-07,,,,0,0.1.0,2026-05-08T23:41:51
dm_itaembe_mini_este_suroeste,2018-07,0.36528257255181706,0.2400033629512311,0.4389225193535342,43,0.1.0,2026-05-08T23:45:51
dm_itaembe_mini_este_suroeste,2019-07,0.36411014672328396,0.224342056407656,0.4360259653703714,30,0.1.0,2026-05-08T23:45:53
dm_itaembe_mini_este_suroeste,2020-07,0.3651788923392754,0.24821380996477924,0.43504273247163255,46,0.1.0,2026-05-08T23:45:55
dm_itaembe_mini_este_suroeste,2021-07,0.3695238017219582,0.25599730302928947,0.43827965773022276,48,0.1.0,2026-05-08T23:45:57
dm_itaembe_mini_este_suroeste,2022-07,0.37406494541338997,0.30260765875279433,0.44269133740063205,32,0.1.0,2026-05-08T23:45:58
dm_itaembe_mini_este_suroeste,2023-07,0.3783546498021447,0.33031682569435133,0.45384793904914317,44,0.1.0,2026-05-08T23:46:00
dm_itaembe_mini_este_suroeste,2024-07,0.3771805691642972,0.31833077992620173,0.45404079753613663,22,0.1.0,2026-05-08T23:46:01
