poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
nemesio_parma,2022-07,0,0,0
nemesio_parma,2023-07,0,0,0
nemesio_parma,2024-07,0,0,0
nemesio_parma,2025-07,0,0,0
villa_cabello,2018-07,2335,2748,3161
villa_cabello,2019-07,2880,3389,3898
villa_cabello,2020-07,2964,3488,4012
villa_cabello,2021-07,3183,3745,4307
villa_cabello,2022-07,3231,3802,4373
villa_cabello,2023-07,3336,3925,4514
villa_cabello,2024-07,3522,4144,4766
villa_cabello,2025-07,3558,4186,4814
itaembe_pora,2018-07,1826,2149,2472
itaembe_pora,2019-07,2223,2616,3009
itaembe_pora,2020-07,2303,2710,3117
itaembe_pora,2021-07,2554,3005,3456
itaembe_pora,2022-07,2584,3040,3496
itaembe_pora,2023-07,2687,3162,3637
itaembe_pora,2024-07,2815,3312,3809
itaembe_pora,2025-07,2857,3362,3867
itaembe_mini,2018-07,623,734,845
itaembe_mini,2019-07,757,891,1025
itaembe_mini,2020-07,787,926,1065
itaembe_mini,2021-07,875,1030,1185
itaembe_mini,2022-07,886,1043,1200
itaembe_mini,2023-07,922,1085,1248
itaembe_mini,2024-07,969,1140,1311
itaembe_mini,2025-07,986,1161,1336
aguas_corrientes,2018-07,3966,4667,5368
aguas_corrientes,2019-07,4556,5361,6166
aguas_corrientes,2020-07,4668,5492,6316
aguas_corrientes,2021-07,4843,5698,6553
aguas_corrientes,2022-07,4896,5761,6626
aguas_corrientes,2023-07,5003,5886,6769
aguas_corrientes,2024-07,5177,6091,7005
aguas_corrientes,2025-07,5220,6142,7064
chacra_32,2018-07,3719,4376,5033
chacra_32,2019-07,4543,5345,6147
chacra_32,2020-07,4715,5548,6381
chacra_32,2021-07,5139,6047,6955
chacra_32,2022-07,5265,6195,7125
chacra_32,2023-07,5438,6398,7358
chacra_32,2024-07,5659,6658,7657
chacra_32,2025-07,5730,6742,7754
bajada_vieja,2018-07,287,338,389
bajada_vieja,2019-07,327,385,443
bajada_vieja,2020-07,345,406,467
bajada_vieja,2021-07,370,436,502
bajada_vieja,2022-07,372,438,504
bajada_vieja,2023-07,380,448,516
bajada_vieja,2024-07,392,462,532
bajada_vieja,2025-07,394,464,534
villa_bonita,2018-07,462,544,626
