poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
chacra_32,2019,verano,5.22,2.62,40.67,2
chacra_32,2020,invierno,1.03,0.54,23.6,1
chacra_32,2020,otono,3.65,1.3,28.2,3
chacra_32,2020,primavera,2.37,1.48,41.13,2
chacra_32,2020,verano,5.3,2.68,41.34,2
chacra_32,2021,invierno,-0.08,0.26,19.14,2
chacra_32,2021,otono,1.21,1.42,32.29,3
chacra_32,2021,primavera,5.27,2.62,38.12,3
chacra_32,2021,verano,3.46,1.94,42.39,2
chacra_32,2022,invierno,2.6,0.94,23.13,2
chacra_32,2022,otono,2.02,0.96,27.61,3
chacra_32,2022,primavera,3.52,1.88,34.03,3
chacra_32,2022,verano,4.2,2.05,44.61,3
chacra_32,2023,invierno,1.21,0.38,26.24,3
chacra_32,2023,otono,2.7,1.18,30.97,3
chacra_32,2023,primavera,5.01,2.39,37.28,3
chacra_32,2023,verano,3.27,2.1,43.61,3
chacra_32,2024,invierno,2.66,1.31,20.53,3
chacra_32,2024,otono,1.73,1.32,30.29,3
chacra_32,2024,primavera,6.15,2.9,36.39,3
chacra_32,2024,verano,8.36,3.33,45.84,3
chacra_32,2025,invierno,1.21,0.46,18.13,3
chacra_32,2025,otono,1.73,1.04,29.9,3
chacra_32,2025,primavera,5.76,2.75,36.13,3
chacra_32,2025,verano,5.47,3.08,43.72,3
chacra_32,2026,otono,7.03,2.53,40.4,1
chacra_32,2026,verano,5.96,3.11,43.5,3
cima_del_sol,2018,invierno,0.22,-0.03,22.07,1
cima_del_sol,2018,otono,0.76,-0.1,29.53,3
cima_del_sol,2018,primavera,0.75,-1.36,32.33,3
cima_del_sol,2018,verano,-1.39,-1.21,33.8,1
cima_del_sol,2019,invierno,0.27,-0.4,22.0,2
cima_del_sol,2019,otono,2.7,0.2,33.49,2
cima_del_sol,2019,primavera,2.68,-0.53,33.65,3
cima_del_sol,2019,verano,0.65,-1.94,36.1,2
cima_del_sol,2020,invierno,-0.09,-0.58,22.48,1
cima_del_sol,2020,otono,1.84,-0.51,26.39,3
cima_del_sol,2020,primavera,-0.1,-1.0,38.66,2
cima_del_sol,2020,verano,1.36,-1.25,37.4,2
cima_del_sol,2021,invierno,-1.23,-0.88,18.0,2
cima_del_sol,2021,otono,-0.8,-0.59,30.28,3
cima_del_sol,2021,primavera,1.1,-1.54,33.96,3
cima_del_sol,2021,verano,0.55,-0.98,39.48,2
cima_del_sol,2022,invierno,1.46,-0.2,21.98,2
cima_del_sol,2022,otono,0.58,-0.48,26.17,3
cima_del_sol,2022,primavera,0.79,-0.85,31.3,3
cima_del_sol,2022,verano,0.93,-1.23,41.34,3
cima_del_sol,2023,invierno,-0.19,-1.02,24.85,3
cima_del_sol,2023,otono,0.97,-0.55,29.24,3
cima_del_sol,2023,primavera,1.76,-0.86,34.02,3
cima_del_sol,2023,verano,-0.35,-1.52,39.99,3
cima_del_sol,2024,invierno,1.63,0.28,19.5,3
cima_del_sol,2024,otono,-0.01,-0.42,28.55,3
cima_del_sol,2024,primavera,2.63,-0.62,32.87,3
cima_del_sol,2024,verano,3.0,-2.03,40.48,3
cima_del_sol,2025,invierno,0.23,-0.52,17.15,3
cima_del_sol,2025,otono,-0.13,-0.82,28.04,3
cima_del_sol,2025,primavera,1.08,-1.93,31.46,3
cima_del_sol,2025,verano,0.86,-1.53,39.11,3
cima_del_sol,2026,otono,4.94,0.44,38.31,1
cima_del_sol,2026,verano,1.67,-1.17,39.21,3
cit_riberas_del_parana,2018,invierno,0.34,0.09,22.19,1
cit_riberas_del_parana,2018,otono,0.78,-0.08,29.55,3
cit_riberas_del_parana,2018,primavera,2.83,0.72,34.41,3
cit_riberas_del_parana,2018,verano,-0.32,-0.14,34.87,1
cit_riberas_del_parana,2019,invierno,0.68,0.01,22.4,2
cit_riberas_del_parana,2019,otono,3.74,1.24,34.53,2
cit_riberas_del_parana,2019,primavera,3.72,0.51,34.69,3
cit_riberas_del_parana,2019,verano,2.78,0.19,38.24,2
cit_riberas_del_parana,2020,invierno,0.7,0.21,23.27,1
cit_riberas_del_parana,2020,otono,3.12,0.77,27.67,3
cit_riberas_del_parana,2020,primavera,0.44,-0.45,39.2,2
cit_riberas_del_parana,2020,verano,2.95,0.33,38.99,2
cit_riberas_del_parana,2021,invierno,-0.2,0.14,19.02,2
cit_riberas_del_parana,2021,otono,0.09,0.3,31.17,3
cit_riberas_del_parana,2021,primavera,2.97,0.32,35.82,3
cit_riberas_del_parana,2021,verano,1.28,-0.24,40.21,2
cit_riberas_del_parana,2022,invierno,2.13,0.48,22.66,2
cit_riberas_del_parana,2022,otono,1.35,0.29,26.94,3
cit_riberas_del_parana,2022,primavera,1.47,-0.17,31.98,3
cit_riberas_del_parana,2022,verano,2.09,-0.07,42.49,3
cit_riberas_del_parana,2023,invierno,0.93,0.1,25.97,3
cit_riberas_del_parana,2023,otono,1.69,0.16,29.95,3
cit_riberas_del_parana,2023,primavera,1.7,-0.92,33.96,3
cit_riberas_del_parana,2023,verano,0.91,-0.27,41.24,3
cit_riberas_del_parana,2024,invierno,0.82,0.05,19.74,2
cit_riberas_del_parana,2024,otono,-0.05,-0.46,28.51,3
cit_riberas_del_parana,2024,primavera,3.64,0.39,33.88,3
cit_riberas_del_parana,2024,verano,5.46,0.43,42.94,3
cit_riberas_del_parana,2025,invierno,0.62,-0.13,17.53,3
cit_riberas_del_parana,2025,otono,0.7,0.01,28.87,3
cit_riberas_del_parana,2025,primavera,3.02,0.0,33.39,3
cit_riberas_del_parana,2025,verano,2.47,0.08,40.72,3
cit_riberas_del_parana,2026,verano,2.85,0.0,40.39,3
cit_riberas_del_parana_oeste,2018,invierno,-0.14,-0.39,21.71,1
cit_riberas_del_parana_oeste,2018,otono,0.15,-0.71,28.92,3
cit_riberas_del_parana_oeste,2018,primavera,1.67,-0.45,33.25,3
cit_riberas_del_parana_oeste,2018,verano,-1.43,-1.25,33.76,1
cit_riberas_del_parana_oeste,2019,invierno,0.2,-0.47,21.92,2
cit_riberas_del_parana_oeste,2019,otono,1.0,-1.5,31.79,2
cit_riberas_del_parana_oeste,2019,primavera,2.88,-0.33,33.85,3
cit_riberas_del_parana_oeste,2019,verano,0.35,-2.24,35.8,2
cit_riberas_del_parana_oeste,2020,invierno,0.16,-0.33,22.73,1
cit_riberas_del_parana_oeste,2020,otono,2.4,0.05,26.96,3
cit_riberas_del_parana_oeste,2020,primavera,-0.29,-1.18,38.47,2
cit_riberas_del_parana_oeste,2020,verano,1.52,-1.09,37.57,2
cit_riberas_del_parana_oeste,2021,invierno,-0.65,-0.31,18.57,2
cit_riberas_del_parana_oeste,2021,otono,-1.21,-1.0,29.87,3
cit_riberas_del_parana_oeste,2021,primavera,2.29,-0.35,35.15,3
cit_riberas_del_parana_oeste,2021,verano,0.41,-1.12,39.34,2
cit_riberas_del_parana_oeste,2022,invierno,1.65,0.0,22.18,2
cit_riberas_del_parana_oeste,2022,otono,0.63,-0.44,26.22,3
cit_riberas_del_parana_oeste,2022,primavera,0.83,-0.81,31.34,3
cit_riberas_del_parana_oeste,2022,verano,1.1,-1.06,41.51,3
cit_riberas_del_parana_oeste,2023,invierno,0.52,-0.31,25.56,3
cit_riberas_del_parana_oeste,2023,otono,0.81,-0.71,29.08,3
cit_riberas_del_parana_oeste,2023,primavera,1.26,-1.36,33.52,3
cit_riberas_del_parana_oeste,2023,verano,0.19,-0.98,40.53,3
cit_riberas_del_parana_oeste,2024,invierno,1.08,-0.27,18.96,3
cit_riberas_del_parana_oeste,2024,otono,0.07,-0.34,28.63,3
cit_riberas_del_parana_oeste,2024,primavera,2.57,-0.68,32.8,3
cit_riberas_del_parana_oeste,2024,verano,4.13,-0.9,41.61,3
cit_riberas_del_parana_oeste,2025,invierno,0.3,-0.45,17.21,3
cit_riberas_del_parana_oeste,2025,otono,0.0,-0.69,28.17,3
cit_riberas_del_parana_oeste,2025,primavera,2.7,-0.32,33.07,3
cit_riberas_del_parana_oeste,2025,verano,1.25,-1.14,39.5,3
cit_riberas_del_parana_oeste,2026,verano,1.58,-1.27,39.12,3
colonia_laosiana,2018,invierno,0.32,0.07,22.17,1
colonia_laosiana,2018,otono,-1.56,-2.42,27.21,3
colonia_laosiana,2018,primavera,0.25,-1.86,31.83,3
colonia_laosiana,2018,verano,-3.31,-3.13,31.88,1
colonia_laosiana,2019,invierno,0.09,-0.58,21.81,2
colonia_laosiana,2019,otono,-0.68,-3.18,30.11,2
colonia_laosiana,2019,primavera,1.17,-2.04,32.14,3
colonia_laosiana,2019,verano,-3.98,-6.58,31.46,2
colonia_laosiana,2020,invierno,0.14,-0.35,22.71,1
colonia_laosiana,2020,otono,1.74,-0.61,26.29,3
colonia_laosiana,2020,primavera,-0.16,-1.04,38.61,2
colonia_laosiana,2020,verano,-0.86,-3.47,35.18,2
colonia_laosiana,2021,invierno,-0.84,-0.5,18.39,2
colonia_laosiana,2021,otono,-2.58,-2.37,28.5,3
colonia_laosiana,2021,primavera,-0.27,-2.92,32.58,3
colonia_laosiana,2021,verano,-0.68,-2.2,38.25,2
